,server_points,receiver_points,recent_form,average_rank_point_difference,average_aces,average_double_faults,first_serve_win_percentage,second_serve_win_percentage,break_point_save_percentage,name
105683,0,0,0.5,772.2870813397129,13.909090909090908,2.892344497607656,0.810300035657888,0.5488090082286704,0.6996763754045308,Milos Raonic
104545,0,0,0.7,295.4259259259259,17.34259259259259,2.050925925925926,0.7898760663125705,0.5638365063610936,0.7214111922141119,John Isner
103819,0,0,1.0,5120.508438818565,7.565400843881856,1.5126582278481011,0.786199251766662,0.5776333518269002,0.6736111111111112,Roger Federer
104731,0,0,0.6,-188.09756097560972,12.282926829268291,2.985365853658537,0.7679992376232906,0.5316662370026639,0.6720075400565504,Kevin Anderson
105223,0,0,0.6,-89.05438066465257,7.474320241691843,2.0755287009063443,0.7555968952466483,0.537109375,0.6442953020134228,Juan Martin del Potro
104745,0,0,0.6,5667.854251012146,2.935222672064777,1.5465587044534412,0.72169133192389,0.5674698795180723,0.6636438582028029,Rafael Nadal
104468,0,0,0.3,-2.8409638554216867,3.978313253012048,2.3397590361445784,0.6888503390632392,0.5151834668916069,0.5987491770901909,Gilles Simon
105051,0,0,0.5,-605.0384615384615,5.038461538461538,4.423076923076923,0.6976032636409994,0.4463291810230586,0.5596234309623431,Matthew Ebden
111575,0,0,0.4,-617.0898876404494,7.842696629213483,3.3146067415730336,0.7311802422227499,0.5061409179056238,0.6187290969899666,Karen Khachanov
104925,0,0,0.6,9506.489563567362,5.104364326375712,1.7362428842504745,0.7433195482742166,0.570736507455908,0.657130657557643,Novak Djokovic
