Set,Server,Receiver,ServerGames,ReceiverGames,ServerSets,ReceiverSets
1,2519549,2251402,0,1,0,0
1,2251402,2519549,2,0,0,0
1,2519549,2251402,1,2,0,0
1,2251402,2519549,3,1,0,0
1,2519549,2251402,2,3,0,0
1,2251402,2519549,4,2,0,0
1,2519549,2251402,2,5,0,0
1,2251402,2519549,6,2,1,0
2,2519549,2251402,1,0,0,1
2,2251402,2519549,0,2,1,0
2,2519549,2251402,3,0,0,1
2,2251402,2519549,1,3,1,0
2,2519549,2251402,3,2,0,1
2,2251402,2519549,3,3,1,0
2,2519549,2251402,4,3,0,1
2,2251402,2519549,4,4,1,0
2,2519549,2251402,5,4,0,1
2,2251402,2519549,5,5,1,0
2,2519549,2251402,6,5,0,1
2,2251402,2519549,6,6,1,0
2,2519549,2251402,6,7,0,2
3,2251402,2519549,1,0,2,0
3,2519549,2251402,1,1,0,2
3,2251402,2519549,2,1,2,0
3,2519549,2251402,2,2,0,2
3,2251402,2519549,3,2,2,0
3,2519549,2251402,3,3,0,2
3,2251402,2519549,4,3,2,0
3,2519549,2251402,4,4,0,2
3,2251402,2519549,5,4,2,0
3,2519549,2251402,5,5,0,2
3,2251402,2519549,5,6,2,0
3,2519549,2251402,7,5,1,2
4,2251402,2519549,1,0,2,1
4,2519549,2251402,1,1,1,2
4,2251402,2519549,2,1,2,1
4,2519549,2251402,2,2,1,2
4,2251402,2519549,3,2,2,1
4,2519549,2251402,3,3,1,2
4,2251402,2519549,3,4,2,1
4,2519549,2251402,5,3,1,2
4,2251402,2519549,4,5,2,1
4,2519549,2251402,6,4,2,2
5,2251402,2519549,1,0,2,2
5,2519549,2251402,1,1,2,2
5,2251402,2519549,2,1,2,2
5,2519549,2251402,2,2,2,2
5,2251402,2519549,3,2,2,2
5,2519549,2251402,3,3,2,2
5,2251402,2519549,4,3,2,2
5,2519549,2251402,4,4,2,2
5,2251402,2519549,5,4,2,2
5,2519549,2251402,5,5,2,2
5,2251402,2519549,6,5,2,2
5,2519549,2251402,6,6,2,2
5,2251402,2519549,7,6,2,2
5,2519549,2251402,7,7,2,2
5,2251402,2519549,8,7,2,2
5,2519549,2251402,8,8,2,2
5,2251402,2519549,9,8,2,2
5,2519549,2251402,9,9,2,2
5,2251402,2519549,10,9,2,2
5,2519549,2251402,10,10,2,2
5,2251402,2519549,11,10,2,2
5,2519549,2251402,11,11,2,2
5,2251402,2519549,11,12,2,2
5,2519549,2251402,13,12,2,2
